,stop_id,level6,level5,level4,level3,level2,level1,levelNights,stop_lat,stop_lon
2963,COMM_1833,1,1,1,,,,,47.997993,-122.107695
2964,COMM_3118,1,1,1,,,,,47.995836,-122.108694
2965,COMM_3120,1,1,1,,,,,47.993797,-122.108777
2966,COMM_1290,1,1,1,,,,,47.98865,-122.108876
2967,COMM_1288,1,1,1,,,,,47.98462,-122.108913
2968,COMM_1289,1,1,1,,,,,47.980331,-122.108998
2969,COMM_3116,1,1,1,,,,,47.978119,-122.109439
2970,COMM_3115,1,1,1,,,,,47.978179,-122.119921
2971,COMM_3082,1,1,1,,,,,47.978206,-122.125679
2972,COMM_3186,1,1,,,,,,47.929963,-122.260077
2973,COMM_3184,1,,,,,,,47.930419,-122.259708
2974,COMM_905,1,,,,,,,48.052499,-122.183535
2975,COMM_2460,1,,,,,,,48.154561,-122.182808
2976,COMM_1490,1,,,,,,,48.196294,-122.129081
2977,COMM_1049,1,,,,,,,48.197527,-122.128094
2978,COMM_3183,1,,,,,,,47.9302,-122.25942
2979,COMM_904,1,,,,,,,48.100286,-122.184348
2980,COMM_929,1,,,,,,,48.238238,-122.243266
2981,COMM_791,1,,,,,,,48.240528,-122.351834
2982,COMM_531,1,,,,,,,48.238685,-122.243032
2983,COMM_1398,1,,,,,,,48.100365,-122.18538
2984,COMM_1449,1,,,,,,,48.154508,-122.183146
2985,COMM_2490,1,1,,,,,,48.057322,-122.183454
2986,COMM_2517,1,1,,,,,,48.053909,-122.183818
2987,COMM_1397,1,1,,,,,,48.051211,-122.185586
2988,COMM_2765,1,1,1,1,1,,,47.78723,-122.316408
2989,COMM_2290,1,1,,,,,,47.603157,-122.328806
2990,COMM_635,1,1,1,,,,,47.601317,-122.328867
2991,COMM_2638,1,1,1,,,,,47.6044,-122.331225
2992,COMM_641,1,1,1,,,,,47.607457,-122.33402
2993,COMM_2976,1,1,1,,,,,47.611077,-122.337372
2994,COMM_473,1,1,1,,,,,47.613021,-122.336433
2995,COMM_476,1,1,,,,,,47.614894,-122.332034
2996,COMM_640,1,1,1,,,,,47.598783,-122.328887
2997,COMM_497,1,,,,,,,47.636879,-122.23675
2998,COMM_2850,1,1,1,,,,,47.715427,-122.185541
2999,COMM_2704,1,,,,,,,47.75756,-122.164572
3000,COMM_587,1,,,,,,,47.851092,-121.990467
3001,COMM_586,1,,,,,,,47.855126,-121.990515
3002,COMM_588,1,,,,,,,47.856961,-121.990515
3003,COMM_861,1,,,,,,,47.931846,-122.100233
3004,COMM_1909,1,1,1,,,,,47.615832,-122.33423
3005,COMM_1908,1,1,1,,,,,47.614556,-122.335971
